Found 612 unique locations with Flexitricity load curtailment/drop components
Format: Tab-separated values (copy and paste into Excel)

====================================================================================================
Location	Status	Delivery Year	Auction	Description	CMU ID	Google Maps URL
276 Kirkintilloch Road, Bishopbriggs, G64 2PT	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=276%20Kirkintilloch%20Road%2C%20Bishopbriggs%2C%20G64%202PT&t=k
29 Leicester Street, Barons Quay, Northwich, CW9 5LG	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=29%20Leicester%20Street%2C%20Barons%20Quay%2C%20Northwich%2C%20CW9%205LG&t=k
2A Clay Street, Soham, CB7 5HH	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=2A%20Clay%20Street%2C%20Soham%2C%20CB7%205HH&t=k
3 Black Bourton Road  OX18 3HQ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=3%20Black%20Bourton%20Road%20%20OX18%203HQ&t=k
3 New Market Road  EH14 1RJ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=3%20New%20Market%20Road%20%20EH14%201RJ&t=k
3 Newmarket Street  FK1 1JT	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=3%20Newmarket%20Street%20%20FK1%201JT&t=k
31 Britannia Way , Clydebank, G81 2RZ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=31%20Britannia%20Way%20%2C%20Clydebank%2C%20G81%202RZ&t=k
31 Roehampton Vale , London, SW15 3DT	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=31%20Roehampton%20Vale%20%2C%20London%2C%20SW15%203DT&t=k
34 Green Road , Leeds, LS6 4JP	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=34%20Green%20Road%20%2C%20Leeds%2C%20LS6%204JP&t=k
341 Bosworth Drive Chelmsley Wood B37 5EX	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=341%20Bosworth%20Drive%20Chelmsley%20Wood%20B37%205EX&t=k
